text,label
Hi,greeting
Hey,greeting
How are you,greeting
Howdy,greeting
Is anyone there,greeting
Hello,greeting
Good day,greeting
Bye,goodbye
See you later,goodbye
Goodbye,goodbye
Thanks,thanks
Thank you,thanks
Thats helpful,thanks
Thanks a lot,thanks
Which items do you have,items
What kinds of items are there,items
What do you sell,items
Do you take credit cards,payments
Do you accept Mastercard,payments
Can I pay with Paypal,payments
Are you cash only,payments
How long does delivery take,delivery
How long does shipping take,delivery
When do I get my delivery,delivery
Tell me a joke,funny
Tell me something funny,funny
Do you know a joke,funny
whats your birthday,birthday
when do you celebrate your birthday,birthday
when were you born,birthday
when is your birthday,birthday
I am your friend,affection
I love you,affection
I am in love with you,affection
I agree,confirmation
I understand,confirmation
I agree with you,confirmation
confirmed,confirmation
